[map] NewBarkTown: anslutning till ROUTE_27 hoppas över (ej importerad)
[collision] players_house: okänd kollision VIRTUAL_BOY -> spärrad
[map] PlayersHouse1F: tidsbegränsat objekt SPRITE_MOM (-1,MORN) hoppas över
[map] PlayersHouse1F: tidsbegränsat objekt SPRITE_MOM (-1,NITE) hoppas över
[script] PlayersHouse1F: NeighborScript saknar text – stub
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
[collision] players_room: okänd kollision FF -> spärrad
